Foley,0.044791782620390554,0.03209696438548673,-426.0,96.0,-165.0,261.0,", ELECTION OF SPEAKER"
Agreed to,-0.0051544381511442845,-0.033778079599986764,96.0,108.0,102.0,6.0,", On Agreeing to the Amendment"
Failed,0.009072344887784764,0.02703026097270658,-121.0,-57.0,-89.0,32.0,", On Agreeing to the Amendment"
Failed,-0.03484256925138153,-0.02713167579974513,313.0,-67.0,123.0,-190.0,", On Agreeing to the Amendment"
Failed,-0.005743077470839697,0.048215922201512565,-65.0,-215.0,-140.0,-75.0,", On Agreeing to the Amendment"
Agreed to,-0.021557302997610717,-0.02945572226588853,187.0,5.0,96.0,-91.0,", On Agreeing to the Amendment"
Failed,-0.02973216804264666,-0.02673831126149228,257.0,-43.0,107.0,-150.0,", On Agreeing to the Amendment"
Failed,-0.022346342487080697,-0.01543395206462755,186.0,-46.0,70.0,-116.0,", On Agreeing to the Amendment"
Agreed to,-0.003084214852129421,-0.020373714236057307,83.0,89.0,86.0,3.0,", On Agreeing to the Amendment"
Agreed to,0.03776758994237958,0.029624351794939992,-337.0,71.0,-133.0,204.0,", On Agreeing to the Amendment"
Failed,-0.024709140935037305,-0.024281651105265444,197.0,-31.0,83.0,-114.0,", On Agreeing to the Amendment"
Failed,-0.03209548353584914,-0.03810946663676754,320.0,-10.0,155.0,-165.0,"VA, HUD APPROPRIATIONS, 1993, On Motion to Recommit with Instructions"
Passed,0.035711391483076976,-0.011671536382251603,-191.0,221.0,15.0,206.0,"VA, HUD APPROPRIATIONS, 1993, On Passage"
Failed,-0.031921289557182014,0.04422622624945262,95.0,-355.0,-130.0,-225.0,", MOTION TO ADJOURN"
Passed,0.03977038171577611,0.03434486842564353,-379.0,63.0,-158.0,221.0,"WAIVING CERTAIN POINTS OF ORDER DURING CONSIDERATION OF H.R. 5678; COMMERCE, STATE, AND JUSTICE APPROPRIATIONS FOR FY 1993, On Ordering the Previous Question"
